timestep,metrics,total_pos_label
25,"[('True Negtaives', 476), ('False Positives', 0), ('False Negtaives', 91), ('True Positives', 27), ('Accuracy', 0.8468013468013468), ('Precision', 1.0), ('Recall', 0.2288135593220339), ('F1 Score', 0.37241379310344824), ('Specificity', 1.0), ('NPV', 0.8395061728395061), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.43828118312360387), ('Confusion Matrix', (476, 0, 91, 27)), ('ROC_AUC', 0.9579297820823244), ('AUCPR', 0.9336991029676344)]",118
26,"[('True Negtaives', 419), ('False Positives', 2), ('False Negtaives', 54), ('True Positives', 42), ('Accuracy', 0.8916827852998066), ('Precision', 0.9545454545454546), ('Recall', 0.4375), ('F1 Score', 0.6), ('Specificity', 0.995249406175772), ('NPV', 0.8858350951374208), ('FPR', 0.004750593824228029), ('FDR', 0.045454545454545456), ('MCC', 0.6030540471938921), ('Confusion Matrix', (419, 2, 54, 42)), ('ROC_AUC', 0.9450712589073634), ('AUCPR', 0.8838621662094341)]",96
27,"[('True Negtaives', 181), ('False Positives', 1), ('False Negtaives', 17), ('True Positives', 7), ('Accuracy', 0.912621359223301), ('Precision', 0.875), ('Recall', 0.2916666666666667), ('F1 Score', 0.43750000000000006), ('Specificity', 0.9945054945054945), ('NPV', 0.9141414141414141), ('FPR', 0.005494505494505495), ('FDR', 0.125), ('MCC', 0.47521606028763796), ('Confusion Matrix', (181, 1, 17, 7)), ('ROC_AUC', 0.9686355311355311), ('AUCPR', 0.9000256383838039)]",24
28,"[('True Negtaives', 198), ('False Positives', 1), ('False Negtaives', 17), ('True Positives', 68), ('Accuracy', 0.9366197183098591), ('Precision', 0.9855072463768116), ('Recall', 0.8), ('F1 Score', 0.8831168831168831), ('Specificity', 0.9949748743718593), ('NPV', 0.9209302325581395), ('FPR', 0.005025125628140704), ('FDR', 0.014492753623188406), ('MCC', 0.8488786844669017), ('Confusion Matrix', (198, 1, 17, 68)), ('ROC_AUC', 0.9973987584983742), ('AUCPR', 0.9930289740535564)]",85
29,"[('True Negtaives', 840), ('False Positives', 5), ('False Negtaives', 111), ('True Positives', 218), ('Accuracy', 0.9011925042589438), ('Precision', 0.9775784753363229), ('Recall', 0.662613981762918), ('F1 Score', 0.7898550724637682), ('Specificity', 0.9940828402366864), ('NPV', 0.8832807570977917), ('FPR', 0.005917159763313609), ('FDR', 0.02242152466367713), ('MCC', 0.7518799918394569), ('Confusion Matrix', (840, 5, 111, 218)), ('ROC_AUC', 0.9696228485099189), ('AUCPR', 0.9451394315482924)]",329
30,"[('True Negtaives', 362), ('False Positives', 79), ('False Negtaives', 1), ('True Positives', 82), ('Accuracy', 0.8473282442748091), ('Precision', 0.5093167701863354), ('Recall', 0.9879518072289156), ('F1 Score', 0.6721311475409836), ('Specificity', 0.8208616780045351), ('NPV', 0.9972451790633609), ('FPR', 0.17913832199546487), ('FDR', 0.4906832298136646), ('MCC', 0.6400891622729581), ('Confusion Matrix', (362, 79, 1, 82)), ('ROC_AUC', 0.9835259404966805), ('AUCPR', 0.9474111865502868)]",83
31,"[('True Negtaives', 487), ('False Positives', 117), ('False Negtaives', 2), ('True Positives', 104), ('Accuracy', 0.8323943661971831), ('Precision', 0.47058823529411764), ('Recall', 0.9811320754716981), ('F1 Score', 0.636085626911315), ('Specificity', 0.8062913907284768), ('NPV', 0.9959100204498977), ('FPR', 0.19370860927152317), ('FDR', 0.5294117647058824), ('MCC', 0.6060789334024804), ('Confusion Matrix', (487, 117, 2, 104)), ('ROC_AUC', 0.9847244783206298), ('AUCPR', 0.9039471338518834)]",106
32,"[('True Negtaives', 663), ('False Positives', 318), ('False Negtaives', 1), ('True Positives', 341), ('Accuracy', 0.7588813303099018), ('Precision', 0.5174506828528073), ('Recall', 0.9970760233918129), ('F1 Score', 0.6813186813186812), ('Specificity', 0.6758409785932722), ('NPV', 0.9984939759036144), ('FPR', 0.3241590214067278), ('FDR', 0.48254931714719274), ('MCC', 0.5892265548671318), ('Confusion Matrix', (663, 318, 1, 341)), ('ROC_AUC', 0.9885783095182741), ('AUCPR', 0.9714961543780775)]",342
33,"[('True Negtaives', 0), ('False Positives', 418), ('False Negtaives', 0), ('True Positives', 23), ('Accuracy', 0.05215419501133787), ('Precision', 0.05215419501133787), ('Recall', 1.0), ('F1 Score', 0.09913793103448276), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.9478458049886621), ('MCC', 0.0), ('Confusion Matrix', (0, 418, 0, 23)), ('ROC_AUC', 0.9048262949864779), ('AUCPR', 0.8422485589342212)]",23
34,"[('True Negtaives', 0), ('False Positives', 478), ('False Negtaives', 0), ('True Positives', 37), ('Accuracy', 0.07184466019417475), ('Precision', 0.07184466019417475), ('Recall', 1.0), ('F1 Score', 0.13405797101449274), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.9281553398058252), ('MCC', 0.0), ('Confusion Matrix', (0, 478, 0, 37)), ('ROC_AUC', 0.9532963926269364), ('AUCPR', 0.7868633470504659)]",37
35,"[('True Negtaives', 0), ('False Positives', 1159), ('False Negtaives', 0), ('True Positives', 182), ('Accuracy', 0.13571961222967935), ('Precision', 0.13571961222967935), ('Recall', 1.0), ('F1 Score', 0.23900196979645438), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.8642803877703207), ('MCC', 0.0), ('Confusion Matrix', (0, 1159, 0, 182)), ('ROC_AUC', 0.9901060975262874), ('AUCPR', 0.9707510728653869)]",182
36,"[('True Negtaives', 0), ('False Positives', 1675), ('False Negtaives', 0), ('True Positives', 33), ('Accuracy', 0.019320843091334895), ('Precision', 0.019320843091334895), ('Recall', 1.0), ('F1 Score', 0.03790924755887421), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.9806791569086651), ('MCC', 0.0), ('Confusion Matrix', (0, 1675, 0, 33)), ('ROC_AUC', 0.938561736770692), ('AUCPR', 0.7386895368746437)]",33
37,"[('True Negtaives', 413), ('False Positives', 45), ('False Negtaives', 13), ('True Positives', 27), ('Accuracy', 0.8835341365461847), ('Precision', 0.375), ('Recall', 0.675), ('F1 Score', 0.4821428571428572), ('Specificity', 0.9017467248908297), ('NPV', 0.9694835680751174), ('FPR', 0.0982532751091703), ('FDR', 0.625), ('MCC', 0.445735089112391), ('Confusion Matrix', (413, 45, 13, 27)), ('ROC_AUC', 0.8553493449781658), ('AUCPR', 0.6958691156565661)]",40
38,"[('True Negtaives', 512), ('False Positives', 133), ('False Negtaives', 12), ('True Positives', 99), ('Accuracy', 0.8082010582010583), ('Precision', 0.4267241379310345), ('Recall', 0.8918918918918919), ('F1 Score', 0.5772594752186588), ('Specificity', 0.7937984496124031), ('NPV', 0.9770992366412213), ('FPR', 0.2062015503875969), ('FDR', 0.5732758620689655), ('MCC', 0.5262107824986741), ('Confusion Matrix', (512, 133, 12, 99)), ('ROC_AUC', 0.9371883511418395), ('AUCPR', 0.8968814142018288)]",111
39,"[('True Negtaives', 1102), ('False Positives', 0), ('False Negtaives', 81), ('True Positives', 0), ('Accuracy', 0.9315300084530854), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9315300084530854), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1102, 0, 81, 0)), ('ROC_AUC', 0.9737850373059085), ('AUCPR', 0.8916181366965885)]",81
40,"[('True Negtaives', 1099), ('False Positives', 0), ('False Negtaives', 112), ('True Positives', 0), ('Accuracy', 0.9075144508670521), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9075144508670521), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1099, 0, 112, 0)), ('ROC_AUC', 0.8508790458858703), ('AUCPR', 0.6940860287610046)]",112
41,"[('True Negtaives', 1016), ('False Positives', 0), ('False Negtaives', 98), ('True Positives', 18), ('Accuracy', 0.9134275618374559), ('Precision', 1.0), ('Recall', 0.15517241379310345), ('F1 Score', 0.26865671641791045), ('Specificity', 1.0), ('NPV', 0.9120287253141831), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.3761936984528703), ('Confusion Matrix', (1016, 0, 98, 18)), ('ROC_AUC', 0.975554914471898), ('AUCPR', 0.939791359204376)]",116
42,"[('True Negtaives', 1912), ('False Positives', 3), ('False Negtaives', 204), ('True Positives', 35), ('Accuracy', 0.903899721448468), ('Precision', 0.9210526315789473), ('Recall', 0.14644351464435146), ('F1 Score', 0.2527075812274368), ('Specificity', 0.9984334203655353), ('NPV', 0.9035916824196597), ('FPR', 0.001566579634464752), ('FDR', 0.07894736842105263), ('MCC', 0.3456471331943154), ('Confusion Matrix', (1912, 3, 204, 35)), ('ROC_AUC', 0.9145329211138665), ('AUCPR', 0.8235120474380065)]",239
43,"[('True Negtaives', 1346), ('False Positives', 0), ('False Negtaives', 24), ('True Positives', 0), ('Accuracy', 0.9824817518248176), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9824817518248176), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1346, 0, 24, 0)), ('ROC_AUC', 0.6370418524021794), ('AUCPR', 0.04023940444581641)]",24
44,"[('True Negtaives', 1566), ('False Positives', 1), ('False Negtaives', 24), ('True Positives', 0), ('Accuracy', 0.9842866121935889), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9993618379068283), ('NPV', 0.9849056603773585), ('FPR', 0.0006381620931716656), ('FDR', 1.0), ('MCC', -0.003103648718626017), ('Confusion Matrix', (1566, 1, 24, 0)), ('ROC_AUC', 0.7893001489044884), ('AUCPR', 0.1501851326360647)]",24
45,"[('True Negtaives', 1216), ('False Positives', 0), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.9959049959049959), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9959049959049959), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1216, 0, 5, 0)), ('ROC_AUC', 0.7355263157894737), ('AUCPR', 0.06700232718884082)]",5
46,"[('True Negtaives', 710), ('False Positives', 0), ('False Negtaives', 2), ('True Positives', 0), ('Accuracy', 0.9971910112359551), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9971910112359551), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (710, 0, 2, 0)), ('ROC_AUC', 0.49436619718309854), ('AUCPR', 0.016161486428632587)]",2
47,"[('True Negtaives', 824), ('False Positives', 0), ('False Negtaives', 22), ('True Positives', 0), ('Accuracy', 0.9739952718676123), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9739952718676123), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (824, 0, 22, 0)), ('ROC_AUC', 0.6826456310679612), ('AUCPR', 0.05227312920266787)]",22
48,"[('True Negtaives', 435), ('False Positives', 0), ('False Negtaives', 36), ('True Positives', 0), ('Accuracy', 0.9235668789808917), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9235668789808917), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (435, 0, 36, 0)), ('ROC_AUC', 0.6964878671775223), ('AUCPR', 0.15765246764528568)]",36
49,"[('True Negtaives', 420), ('False Positives', 0), ('False Negtaives', 56), ('True Positives', 0), ('Accuracy', 0.8823529411764706), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8823529411764706), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (420, 0, 56, 0)), ('ROC_AUC', 0.9454506802721088), ('AUCPR', 0.8305823225315948)]",56
