timestep,metrics,total_pos_label
29,"[('True Negtaives', 840), ('False Positives', 5), ('False Negtaives', 34), ('True Positives', 295), ('Accuracy', 0.9667802385008518), ('Precision', 0.9833333333333333), ('Recall', 0.8966565349544073), ('F1 Score', 0.9379968203497616), ('Specificity', 0.9940828402366864), ('NPV', 0.9610983981693364), ('FPR', 0.005917159763313609), ('FDR', 0.016666666666666666), ('MCC', 0.9171927444268902), ('Confusion Matrix', (840, 5, 34, 295)), ('ROC_AUC', 0.9886836567687631), ('AUCPR', 0.9796943066473668)]",329
30,"[('True Negtaives', 434), ('False Positives', 7), ('False Negtaives', 10), ('True Positives', 73), ('Accuracy', 0.9675572519083969), ('Precision', 0.9125), ('Recall', 0.8795180722891566), ('F1 Score', 0.8957055214723926), ('Specificity', 0.9841269841269841), ('NPV', 0.9774774774774775), ('FPR', 0.015873015873015872), ('FDR', 0.0875), ('MCC', 0.8767124093710152), ('Confusion Matrix', (434, 7, 10, 73)), ('ROC_AUC', 0.9871595224435155), ('AUCPR', 0.9591452061031245)]",83
31,"[('True Negtaives', 601), ('False Positives', 3), ('False Negtaives', 15), ('True Positives', 91), ('Accuracy', 0.9746478873239437), ('Precision', 0.9680851063829787), ('Recall', 0.8584905660377359), ('F1 Score', 0.91), ('Specificity', 0.9950331125827815), ('NPV', 0.9756493506493507), ('FPR', 0.004966887417218543), ('FDR', 0.031914893617021274), ('MCC', 0.8974963539798757), ('Confusion Matrix', (601, 3, 15, 91)), ('ROC_AUC', 0.9897304135949019), ('AUCPR', 0.9582245156628992)]",106
32,"[('True Negtaives', 977), ('False Positives', 4), ('False Negtaives', 17), ('True Positives', 325), ('Accuracy', 0.9841269841269841), ('Precision', 0.9878419452887538), ('Recall', 0.9502923976608187), ('F1 Score', 0.9687034277198212), ('Specificity', 0.9959225280326198), ('NPV', 0.9828973843058351), ('FPR', 0.004077471967380225), ('FDR', 0.0121580547112462), ('MCC', 0.9583986866748316), ('Confusion Matrix', (977, 4, 17, 325)), ('ROC_AUC', 0.9977526214448796), ('AUCPR', 0.9948975915521023)]",342
33,"[('True Negtaives', 417), ('False Positives', 1), ('False Negtaives', 5), ('True Positives', 18), ('Accuracy', 0.9863945578231292), ('Precision', 0.9473684210526315), ('Recall', 0.782608695652174), ('F1 Score', 0.8571428571428571), ('Specificity', 0.9976076555023924), ('NPV', 0.9881516587677726), ('FPR', 0.0023923444976076554), ('FDR', 0.05263157894736842), ('MCC', 0.8543465708418946), ('Confusion Matrix', (417, 1, 5, 18)), ('ROC_AUC', 0.9643228624921989), ('AUCPR', 0.8492758470813659)]",23
34,"[('True Negtaives', 477), ('False Positives', 1), ('False Negtaives', 13), ('True Positives', 24), ('Accuracy', 0.9728155339805825), ('Precision', 0.96), ('Recall', 0.6486486486486487), ('F1 Score', 0.7741935483870968), ('Specificity', 0.997907949790795), ('NPV', 0.9734693877551021), ('FPR', 0.0020920502092050207), ('FDR', 0.04), ('MCC', 0.7768788786511632), ('Confusion Matrix', (477, 1, 13, 24)), ('ROC_AUC', 0.9860341513061178), ('AUCPR', 0.9290388380411705)]",37
35,"[('True Negtaives', 1157), ('False Positives', 2), ('False Negtaives', 17), ('True Positives', 165), ('Accuracy', 0.9858314690529456), ('Precision', 0.9880239520958084), ('Recall', 0.9065934065934066), ('F1 Score', 0.9455587392550143), ('Specificity', 0.998274374460742), ('NPV', 0.985519591141397), ('FPR', 0.001725625539257981), ('FDR', 0.011976047904191617), ('MCC', 0.9385777462355708), ('Confusion Matrix', (1157, 2, 17, 165)), ('ROC_AUC', 0.9964657861551737), ('AUCPR', 0.9856829936452767)]",182
36,"[('True Negtaives', 1670), ('False Positives', 5), ('False Negtaives', 2), ('True Positives', 31), ('Accuracy', 0.9959016393442623), ('Precision', 0.8611111111111112), ('Recall', 0.9393939393939394), ('F1 Score', 0.8985507246376813), ('Specificity', 0.9970149253731343), ('NPV', 0.9988038277511961), ('FPR', 0.0029850746268656717), ('FDR', 0.1388888888888889), ('MCC', 0.8973471857070153), ('Confusion Matrix', (1670, 5, 2, 31)), ('ROC_AUC', 0.998715513342379), ('AUCPR', 0.9723020721044437)]",33
37,"[('True Negtaives', 458), ('False Positives', 0), ('False Negtaives', 22), ('True Positives', 18), ('Accuracy', 0.9558232931726908), ('Precision', 1.0), ('Recall', 0.45), ('F1 Score', 0.6206896551724138), ('Specificity', 1.0), ('NPV', 0.9541666666666667), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.6552671211040578), ('Confusion Matrix', (458, 0, 22, 18)), ('ROC_AUC', 0.8961244541484716), ('AUCPR', 0.7582008230573274)]",40
38,"[('True Negtaives', 645), ('False Positives', 0), ('False Negtaives', 20), ('True Positives', 91), ('Accuracy', 0.9735449735449735), ('Precision', 1.0), ('Recall', 0.8198198198198198), ('F1 Score', 0.9009900990099009), ('Specificity', 1.0), ('NPV', 0.9699248120300752), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8917194539973146), ('Confusion Matrix', (645, 0, 20, 91)), ('ROC_AUC', 0.9701236119840771), ('AUCPR', 0.9304869193393199)]",111
