timestep,metrics,total_pos_label
24,"[('True Negtaives', 845), ('False Positives', 144), ('False Negtaives', 80), ('True Positives', 57), ('Accuracy', 0.8010657193605684), ('Precision', 0.2835820895522388), ('Recall', 0.41605839416058393), ('F1 Score', 0.33727810650887574), ('Specificity', 0.8543983822042467), ('NPV', 0.9135135135135135), ('FPR', 0.14560161779575329), ('FDR', 0.7164179104477612), ('MCC', 0.23088057831018527), ('Confusion Matrix', (845, 144, 80, 57)), ('ROC_AUC', 0.7402006007690435), ('AUCPR', 0.21842317011022191)]",137
25,"[('True Negtaives', 311), ('False Positives', 165), ('False Negtaives', 32), ('True Positives', 86), ('Accuracy', 0.6683501683501684), ('Precision', 0.3426294820717131), ('Recall', 0.7288135593220338), ('F1 Score', 0.4661246612466124), ('Specificity', 0.6533613445378151), ('NPV', 0.9067055393586005), ('FPR', 0.34663865546218486), ('FDR', 0.6573705179282868), ('MCC', 0.3086901162072144), ('Confusion Matrix', (311, 165, 32, 86)), ('ROC_AUC', 0.7362733228884774), ('AUCPR', 0.3425902932638307)]",118
26,"[('True Negtaives', 381), ('False Positives', 40), ('False Negtaives', 75), ('True Positives', 21), ('Accuracy', 0.7775628626692457), ('Precision', 0.3442622950819672), ('Recall', 0.21875), ('F1 Score', 0.267515923566879), ('Specificity', 0.9049881235154394), ('NPV', 0.8355263157894737), ('FPR', 0.09501187648456057), ('FDR', 0.6557377049180327), ('MCC', 0.1491532947630713), ('Confusion Matrix', (381, 40, 75, 21)), ('ROC_AUC', 0.6706007521773555), ('AUCPR', 0.2886027114482696)]",96
27,"[('True Negtaives', 153), ('False Positives', 29), ('False Negtaives', 14), ('True Positives', 10), ('Accuracy', 0.7912621359223301), ('Precision', 0.2564102564102564), ('Recall', 0.4166666666666667), ('F1 Score', 0.31746031746031744), ('Specificity', 0.8406593406593407), ('NPV', 0.9161676646706587), ('FPR', 0.15934065934065933), ('FDR', 0.7435897435897436), ('MCC', 0.21073392556580603), ('Confusion Matrix', (153, 29, 14, 10)), ('ROC_AUC', 0.7788461538461539), ('AUCPR', 0.2513110521848803)]",24
28,"[('True Negtaives', 169), ('False Positives', 30), ('False Negtaives', 33), ('True Positives', 52), ('Accuracy', 0.778169014084507), ('Precision', 0.6341463414634146), ('Recall', 0.611764705882353), ('F1 Score', 0.6227544910179641), ('Specificity', 0.8492462311557789), ('NPV', 0.8366336633663366), ('FPR', 0.1507537688442211), ('FDR', 0.36585365853658536), ('MCC', 0.46586986505394384), ('Confusion Matrix', (169, 30, 33, 52)), ('ROC_AUC', 0.8188590008867869), ('AUCPR', 0.6193194144385177)]",85
29,"[('True Negtaives', 675), ('False Positives', 170), ('False Negtaives', 266), ('True Positives', 63), ('Accuracy', 0.6286201022146508), ('Precision', 0.2703862660944206), ('Recall', 0.19148936170212766), ('F1 Score', 0.22419928825622779), ('Specificity', 0.7988165680473372), ('NPV', 0.7173219978746015), ('FPR', 0.20118343195266272), ('FDR', 0.7296137339055794), ('MCC', -0.010915903654088052), ('Confusion Matrix', (675, 170, 266, 63)), ('ROC_AUC', 0.46312116688548766), ('AUCPR', 0.2617177927167774)]",329
30,"[('True Negtaives', 360), ('False Positives', 81), ('False Negtaives', 44), ('True Positives', 39), ('Accuracy', 0.7614503816793893), ('Precision', 0.325), ('Recall', 0.46987951807228917), ('F1 Score', 0.3842364532019705), ('Specificity', 0.8163265306122449), ('NPV', 0.8910891089108911), ('FPR', 0.1836734693877551), ('FDR', 0.675), ('MCC', 0.24868858040760153), ('Confusion Matrix', (360, 81, 44, 39)), ('ROC_AUC', 0.7522880638199054), ('AUCPR', 0.2911976418589953)]",83
31,"[('True Negtaives', 245), ('False Positives', 359), ('False Negtaives', 53), ('True Positives', 53), ('Accuracy', 0.4197183098591549), ('Precision', 0.12864077669902912), ('Recall', 0.5), ('F1 Score', 0.2046332046332046), ('Specificity', 0.4056291390728477), ('NPV', 0.8221476510067114), ('FPR', 0.5943708609271523), ('FDR', 0.8713592233009708), ('MCC', -0.068147915925493), ('Confusion Matrix', (245, 359, 53, 53)), ('ROC_AUC', 0.4352586530051231), ('AUCPR', 0.12866180545953335)]",106
32,"[('True Negtaives', 466), ('False Positives', 515), ('False Negtaives', 131), ('True Positives', 211), ('Accuracy', 0.5117157974300831), ('Precision', 0.290633608815427), ('Recall', 0.6169590643274854), ('F1 Score', 0.3951310861423221), ('Specificity', 0.4750254841997961), ('NPV', 0.7805695142378559), ('FPR', 0.5249745158002038), ('FDR', 0.709366391184573), ('MCC', 0.08092951950795645), ('Confusion Matrix', (466, 515, 131, 211)), ('ROC_AUC', 0.549251569290198), ('AUCPR', 0.29151780464641475)]",342
33,"[('True Negtaives', 418), ('False Positives', 0), ('False Negtaives', 23), ('True Positives', 0), ('Accuracy', 0.9478458049886621), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9478458049886621), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (418, 0, 23, 0)), ('ROC_AUC', 0.5379654670272519), ('AUCPR', 0.0542533915163986)]",23
