timestep,metrics,total_pos_label
24,"[('True Negtaives', 912), ('False Positives', 77), ('False Negtaives', 38), ('True Positives', 99), ('Accuracy', 0.8978685612788633), ('Precision', 0.5625), ('Recall', 0.7226277372262774), ('F1 Score', 0.6325878594249201), ('Specificity', 0.9221435793731041), ('NPV', 0.96), ('FPR', 0.07785642062689585), ('FDR', 0.4375), ('MCC', 0.5804248555353025), ('Confusion Matrix', (912, 77, 38, 99)), ('ROC_AUC', 0.8969393252787966), ('AUCPR', 0.6592730276411453)]",137
25,"[('True Negtaives', 457), ('False Positives', 19), ('False Negtaives', 8), ('True Positives', 110), ('Accuracy', 0.9545454545454546), ('Precision', 0.8527131782945736), ('Recall', 0.9322033898305084), ('F1 Score', 0.8906882591093117), ('Specificity', 0.9600840336134454), ('NPV', 0.9827956989247312), ('FPR', 0.03991596638655462), ('FDR', 0.14728682170542637), ('MCC', 0.8634315626142957), ('Confusion Matrix', (457, 19, 8, 110)), ('ROC_AUC', 0.9806117362199117), ('AUCPR', 0.9661914881002125)]",118
26,"[('True Negtaives', 375), ('False Positives', 46), ('False Negtaives', 9), ('True Positives', 87), ('Accuracy', 0.8936170212765957), ('Precision', 0.6541353383458647), ('Recall', 0.90625), ('F1 Score', 0.759825327510917), ('Specificity', 0.8907363420427553), ('NPV', 0.9765625), ('FPR', 0.10926365795724466), ('FDR', 0.3458646616541353), ('MCC', 0.708983471681494), ('Confusion Matrix', (375, 46, 9, 87)), ('ROC_AUC', 0.9452815716547901), ('AUCPR', 0.8123869521458624)]",96
27,"[('True Negtaives', 172), ('False Positives', 10), ('False Negtaives', 1), ('True Positives', 23), ('Accuracy', 0.9466019417475728), ('Precision', 0.696969696969697), ('Recall', 0.9583333333333334), ('F1 Score', 0.8070175438596493), ('Specificity', 0.945054945054945), ('NPV', 0.9942196531791907), ('FPR', 0.054945054945054944), ('FDR', 0.30303030303030304), ('MCC', 0.7901976696190116), ('Confusion Matrix', (172, 10, 1, 23)), ('ROC_AUC', 0.9649725274725274), ('AUCPR', 0.9043707517972225)]",24
28,"[('True Negtaives', 188), ('False Positives', 11), ('False Negtaives', 0), ('True Positives', 85), ('Accuracy', 0.9612676056338029), ('Precision', 0.8854166666666666), ('Recall', 1.0), ('F1 Score', 0.9392265193370166), ('Specificity', 0.9447236180904522), ('NPV', 1.0), ('FPR', 0.05527638190954774), ('FDR', 0.11458333333333333), ('MCC', 0.9145895455617898), ('Confusion Matrix', (188, 11, 0, 85)), ('ROC_AUC', 0.9950339934968963), ('AUCPR', 0.9749074148583282)]",85
29,"[('True Negtaives', 762), ('False Positives', 83), ('False Negtaives', 19), ('True Positives', 310), ('Accuracy', 0.9131175468483816), ('Precision', 0.7888040712468194), ('Recall', 0.9422492401215805), ('F1 Score', 0.8587257617728532), ('Specificity', 0.901775147928994), ('NPV', 0.9756722151088348), ('FPR', 0.09822485207100591), ('FDR', 0.21119592875318066), ('MCC', 0.8032662259615468), ('Confusion Matrix', (762, 83, 19, 310)), ('ROC_AUC', 0.9714501537742128), ('AUCPR', 0.9009605483217858)]",329
30,"[('True Negtaives', 429), ('False Positives', 12), ('False Negtaives', 3), ('True Positives', 80), ('Accuracy', 0.9713740458015268), ('Precision', 0.8695652173913043), ('Recall', 0.963855421686747), ('F1 Score', 0.9142857142857143), ('Specificity', 0.9727891156462585), ('NPV', 0.9930555555555556), ('FPR', 0.027210884353741496), ('FDR', 0.13043478260869565), ('MCC', 0.8988709778219849), ('Confusion Matrix', (429, 12, 3, 80)), ('ROC_AUC', 0.9851105100674807), ('AUCPR', 0.8917308886731702)]",83
31,"[('True Negtaives', 560), ('False Positives', 44), ('False Negtaives', 6), ('True Positives', 100), ('Accuracy', 0.9295774647887324), ('Precision', 0.6944444444444444), ('Recall', 0.9433962264150944), ('F1 Score', 0.8), ('Specificity', 0.9271523178807947), ('NPV', 0.9893992932862191), ('FPR', 0.0728476821192053), ('FDR', 0.3055555555555556), ('MCC', 0.7715692907362818), ('Confusion Matrix', (560, 44, 6, 100)), ('ROC_AUC', 0.9565475446707484), ('AUCPR', 0.6857821071392205)]",106
32,"[('True Negtaives', 886), ('False Positives', 95), ('False Negtaives', 14), ('True Positives', 328), ('Accuracy', 0.9176114890400605), ('Precision', 0.7754137115839244), ('Recall', 0.9590643274853801), ('F1 Score', 0.8575163398692811), ('Specificity', 0.9031600407747197), ('NPV', 0.9844444444444445), ('FPR', 0.09683995922528033), ('FDR', 0.22458628841607564), ('MCC', 0.809424621906725), ('Confusion Matrix', (886, 95, 14, 328)), ('ROC_AUC', 0.9471329530077318), ('AUCPR', 0.7574001806538638)]",342
33,"[('True Negtaives', 417), ('False Positives', 1), ('False Negtaives', 6), ('True Positives', 17), ('Accuracy', 0.9841269841269841), ('Precision', 0.9444444444444444), ('Recall', 0.7391304347826086), ('F1 Score', 0.8292682926829269), ('Specificity', 0.9976076555023924), ('NPV', 0.9858156028368794), ('FPR', 0.0023923444976076554), ('FDR', 0.05555555555555555), ('MCC', 0.8278635217851293), ('Confusion Matrix', (417, 1, 6, 17)), ('ROC_AUC', 0.8258789265654255), ('AUCPR', 0.7589878421496884)]",23
34,"[('True Negtaives', 476), ('False Positives', 2), ('False Negtaives', 10), ('True Positives', 27), ('Accuracy', 0.9766990291262136), ('Precision', 0.9310344827586207), ('Recall', 0.7297297297297297), ('F1 Score', 0.8181818181818181), ('Specificity', 0.99581589958159), ('NPV', 0.9794238683127572), ('FPR', 0.0041841004184100415), ('FDR', 0.06896551724137931), ('MCC', 0.8127601597579874), ('Confusion Matrix', (476, 2, 10, 27)), ('ROC_AUC', 0.9379735383919484), ('AUCPR', 0.8228606585451045)]",37
35,"[('True Negtaives', 1145), ('False Positives', 14), ('False Negtaives', 10), ('True Positives', 172), ('Accuracy', 0.9821029082774049), ('Precision', 0.9247311827956989), ('Recall', 0.945054945054945), ('F1 Score', 0.9347826086956522), ('Specificity', 0.9879206212251941), ('NPV', 0.9913419913419913), ('FPR', 0.012079378774805867), ('FDR', 0.07526881720430108), ('MCC', 0.9244857426673253), ('Confusion Matrix', (1145, 14, 10, 172)), ('ROC_AUC', 0.9737979880343988), ('AUCPR', 0.9408179802874173)]",182
36,"[('True Negtaives', 1650), ('False Positives', 25), ('False Negtaives', 2), ('True Positives', 31), ('Accuracy', 0.984192037470726), ('Precision', 0.5535714285714286), ('Recall', 0.9393939393939394), ('F1 Score', 0.6966292134831461), ('Specificity', 0.9850746268656716), ('NPV', 0.9987893462469734), ('FPR', 0.014925373134328358), ('FDR', 0.44642857142857145), ('MCC', 0.7145909134283867), ('Confusion Matrix', (1650, 25, 2, 31)), ('ROC_AUC', 0.968955223880597), ('AUCPR', 0.6575815277859564)]",33
37,"[('True Negtaives', 458), ('False Positives', 0), ('False Negtaives', 13), ('True Positives', 27), ('Accuracy', 0.9738955823293173), ('Precision', 1.0), ('Recall', 0.675), ('F1 Score', 0.8059701492537313), ('Specificity', 1.0), ('NPV', 0.9723991507430998), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.810166295739086), ('Confusion Matrix', (458, 0, 13, 27)), ('ROC_AUC', 0.8344978165938864), ('AUCPR', 0.7695899110314484)]",40
38,"[('True Negtaives', 644), ('False Positives', 1), ('False Negtaives', 59), ('True Positives', 52), ('Accuracy', 0.9206349206349206), ('Precision', 0.9811320754716981), ('Recall', 0.46846846846846846), ('F1 Score', 0.6341463414634146), ('Specificity', 0.9984496124031008), ('NPV', 0.9160739687055477), ('FPR', 0.0015503875968992248), ('FDR', 0.018867924528301886), ('MCC', 0.647241627441879), ('Confusion Matrix', (644, 1, 59, 52)), ('ROC_AUC', 0.9066066066066067), ('AUCPR', 0.794780341829351)]",111
39,"[('True Negtaives', 1085), ('False Positives', 17), ('False Negtaives', 11), ('True Positives', 70), ('Accuracy', 0.9763313609467456), ('Precision', 0.8045977011494253), ('Recall', 0.8641975308641975), ('F1 Score', 0.8333333333333334), ('Specificity', 0.984573502722323), ('NPV', 0.989963503649635), ('FPR', 0.015426497277676952), ('FDR', 0.19540229885057472), ('MCC', 0.8212189324687111), ('Confusion Matrix', (1085, 17, 11, 70)), ('ROC_AUC', 0.9551096771302457), ('AUCPR', 0.9042826731962582)]",81
40,"[('True Negtaives', 1071), ('False Positives', 28), ('False Negtaives', 46), ('True Positives', 66), ('Accuracy', 0.9388934764657308), ('Precision', 0.7021276595744681), ('Recall', 0.5892857142857143), ('F1 Score', 0.6407766990291263), ('Specificity', 0.9745222929936306), ('NPV', 0.9588182632050134), ('FPR', 0.025477707006369428), ('FDR', 0.2978723404255319), ('MCC', 0.6104478713548825), ('Confusion Matrix', (1071, 28, 46, 66)), ('ROC_AUC', 0.8178945144936955), ('AUCPR', 0.6817246543098039)]",112
41,"[('True Negtaives', 965), ('False Positives', 51), ('False Negtaives', 8), ('True Positives', 108), ('Accuracy', 0.9478798586572438), ('Precision', 0.6792452830188679), ('Recall', 0.9310344827586207), ('F1 Score', 0.7854545454545454), ('Specificity', 0.9498031496062992), ('NPV', 0.9917780061664954), ('FPR', 0.05019685039370079), ('FDR', 0.32075471698113206), ('MCC', 0.7688059347506082), ('Confusion Matrix', (965, 51, 8, 108)), ('ROC_AUC', 0.9577365598696715), ('AUCPR', 0.9405030667616949)]",116
42,"[('True Negtaives', 1814), ('False Positives', 101), ('False Negtaives', 41), ('True Positives', 198), ('Accuracy', 0.9340761374187558), ('Precision', 0.6622073578595318), ('Recall', 0.8284518828451883), ('F1 Score', 0.7360594795539034), ('Specificity', 0.9472584856396867), ('NPV', 0.9778975741239893), ('FPR', 0.05274151436031332), ('FDR', 0.3377926421404682), ('MCC', 0.7046531293181936), ('Confusion Matrix', (1814, 101, 41, 198)), ('ROC_AUC', 0.895397489539749), ('AUCPR', 0.8144324729539733)]",239
43,"[('True Negtaives', 1314), ('False Positives', 32), ('False Negtaives', 23), ('True Positives', 1), ('Accuracy', 0.9598540145985401), ('Precision', 0.030303030303030304), ('Recall', 0.041666666666666664), ('F1 Score', 0.03508771929824561), ('Specificity', 0.9762258543833581), ('NPV', 0.9827973074046372), ('FPR', 0.0237741456166419), ('FDR', 0.9696969696969697), ('MCC', 0.015310064278012514), ('Confusion Matrix', (1314, 32, 23, 1)), ('ROC_AUC', 0.5557825656265478), ('AUCPR', 0.02467655887790241)]",24
44,"[('True Negtaives', 1400), ('False Positives', 167), ('False Negtaives', 14), ('True Positives', 10), ('Accuracy', 0.8862350722815839), ('Precision', 0.05649717514124294), ('Recall', 0.4166666666666667), ('F1 Score', 0.09950248756218905), ('Specificity', 0.8934269304403318), ('NPV', 0.9900990099009901), ('FPR', 0.10657306955966815), ('FDR', 0.943502824858757), ('MCC', 0.12020473630938741), ('Confusion Matrix', (1400, 167, 14, 10)), ('ROC_AUC', 0.6894011912359073), ('AUCPR', 0.05541478386811932)]",24
45,"[('True Negtaives', 1196), ('False Positives', 20), ('False Negtaives', 4), ('True Positives', 1), ('Accuracy', 0.9803439803439803), ('Precision', 0.047619047619047616), ('Recall', 0.2), ('F1 Score', 0.07692307692307693), ('Specificity', 0.9835526315789473), ('NPV', 0.9966666666666667), ('FPR', 0.01644736842105263), ('FDR', 0.9523809523809523), ('MCC', 0.0901596328658022), ('Confusion Matrix', (1196, 20, 4, 1)), ('ROC_AUC', 0.37993421052631576), ('AUCPR', 0.05361795388262593)]",5
46,"[('True Negtaives', 703), ('False Positives', 7), ('False Negtaives', 2), ('True Positives', 0), ('Accuracy', 0.9873595505617978), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9901408450704225), ('NPV', 0.9971631205673759), ('FPR', 0.009859154929577466), ('FDR', 1.0), ('MCC', -0.005288594694507507), ('Confusion Matrix', (703, 7, 2, 0)), ('ROC_AUC', 0.07042253521126762), ('AUCPR', 0.002258234097506343)]",2
47,"[('True Negtaives', 812), ('False Positives', 12), ('False Negtaives', 22), ('True Positives', 0), ('Accuracy', 0.9598108747044918), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9854368932038835), ('NPV', 0.973621103117506), ('FPR', 0.014563106796116505), ('FDR', 1.0), ('MCC', -0.019599966644448782), ('Confusion Matrix', (812, 12, 22, 0)), ('ROC_AUC', 0.35693402471315094), ('AUCPR', 0.0241253728110203)]",22
48,"[('True Negtaives', 431), ('False Positives', 4), ('False Negtaives', 36), ('True Positives', 0), ('Accuracy', 0.9150743099787686), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9908045977011494), ('NPV', 0.9229122055674518), ('FPR', 0.009195402298850575), ('FDR', 1.0), ('MCC', -0.02662429871636761), ('Confusion Matrix', (431, 4, 36, 0)), ('ROC_AUC', 0.37541507024265647), ('AUCPR', 0.09896092996342201)]",36
49,"[('True Negtaives', 412), ('False Positives', 8), ('False Negtaives', 8), ('True Positives', 48), ('Accuracy', 0.9663865546218487), ('Precision', 0.8571428571428571), ('Recall', 0.8571428571428571), ('F1 Score', 0.8571428571428571), ('Specificity', 0.9809523809523809), ('NPV', 0.9809523809523809), ('FPR', 0.01904761904761905), ('FDR', 0.14285714285714285), ('MCC', 0.8380952380952381), ('Confusion Matrix', (412, 8, 8, 48)), ('ROC_AUC', 0.9708971088435374), ('AUCPR', 0.9009418994904901)]",56
