timestep,metrics,total_pos_label
22,"[('True Negtaives', 1605), ('False Positives', 0), ('False Negtaives', 158), ('True Positives', 0), ('Accuracy', 0.9103800340328985), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9103800340328985), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1605, 0, 158, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.08961996596710153)]",158
23,"[('True Negtaives', 1134), ('False Positives', 0), ('False Negtaives', 53), ('True Positives', 0), ('Accuracy', 0.9553496208930076), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9553496208930076), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1134, 0, 53, 0)), ('ROC_AUC', 0.5), ('AUCPR', 0.04465037910699242)]",53
24,"[('True Negtaives', 989), ('False Positives', 0), ('False Negtaives', 137), ('True Positives', 0), ('Accuracy', 0.8783303730017762), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8783303730017762), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (989, 0, 137, 0)), ('ROC_AUC', 0.603632659989815), ('AUCPR', 0.30328209765230113)]",137
25,"[('True Negtaives', 476), ('False Positives', 0), ('False Negtaives', 52), ('True Positives', 66), ('Accuracy', 0.9124579124579124), ('Precision', 1.0), ('Recall', 0.559322033898305), ('F1 Score', 0.717391304347826), ('Specificity', 1.0), ('NPV', 0.9015151515151515), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.710096675203872), ('Confusion Matrix', (476, 0, 52, 66)), ('ROC_AUC', 0.9878489531405783), ('AUCPR', 0.954441708129681)]",118
26,"[('True Negtaives', 398), ('False Positives', 23), ('False Negtaives', 31), ('True Positives', 65), ('Accuracy', 0.8955512572533849), ('Precision', 0.7386363636363636), ('Recall', 0.6770833333333334), ('F1 Score', 0.7065217391304348), ('Specificity', 0.9453681710213777), ('NPV', 0.9277389277389277), ('FPR', 0.05463182897862233), ('FDR', 0.26136363636363635), ('MCC', 0.644039053615042), ('Confusion Matrix', (398, 23, 31, 65)), ('ROC_AUC', 0.9379329968329374), ('AUCPR', 0.8340314334558099)]",96
27,"[('True Negtaives', 181), ('False Positives', 1), ('False Negtaives', 5), ('True Positives', 19), ('Accuracy', 0.970873786407767), ('Precision', 0.95), ('Recall', 0.7916666666666666), ('F1 Score', 0.8636363636363635), ('Specificity', 0.9945054945054945), ('NPV', 0.9731182795698925), ('FPR', 0.005494505494505495), ('FDR', 0.05), ('MCC', 0.8518978183250557), ('Confusion Matrix', (181, 1, 5, 19)), ('ROC_AUC', 0.9906135531135531), ('AUCPR', 0.9557168531119056)]",24
28,"[('True Negtaives', 197), ('False Positives', 2), ('False Negtaives', 1), ('True Positives', 84), ('Accuracy', 0.9894366197183099), ('Precision', 0.9767441860465116), ('Recall', 0.9882352941176471), ('F1 Score', 0.9824561403508771), ('Specificity', 0.9899497487437185), ('NPV', 0.9949494949494949), ('FPR', 0.010050251256281407), ('FDR', 0.023255813953488372), ('MCC', 0.9749339592983706), ('Confusion Matrix', (197, 2, 1, 84)), ('ROC_AUC', 0.9994679278746674), ('AUCPR', 0.9983725273054959)]",85
29,"[('True Negtaives', 551), ('False Positives', 294), ('False Negtaives', 24), ('True Positives', 305), ('Accuracy', 0.7291311754684838), ('Precision', 0.5091819699499165), ('Recall', 0.9270516717325228), ('F1 Score', 0.6573275862068966), ('Specificity', 0.6520710059171597), ('NPV', 0.9582608695652174), ('FPR', 0.3479289940828402), ('FDR', 0.49081803005008345), ('MCC', 0.5202948672322024), ('Confusion Matrix', (551, 294, 24, 305)), ('ROC_AUC', 0.9520620132731427), ('AUCPR', 0.9087116790946618)]",329
30,"[('True Negtaives', 293), ('False Positives', 148), ('False Negtaives', 1), ('True Positives', 82), ('Accuracy', 0.7156488549618321), ('Precision', 0.3565217391304348), ('Recall', 0.9879518072289156), ('F1 Score', 0.5239616613418531), ('Specificity', 0.6643990929705216), ('NPV', 0.9965986394557823), ('FPR', 0.3356009070294785), ('FDR', 0.6434782608695652), ('MCC', 0.47995666142838855), ('Confusion Matrix', (293, 148, 1, 82)), ('ROC_AUC', 0.9721197716034204), ('AUCPR', 0.873525241024511)]",83
31,"[('True Negtaives', 297), ('False Positives', 307), ('False Negtaives', 2), ('True Positives', 104), ('Accuracy', 0.5647887323943662), ('Precision', 0.25304136253041365), ('Recall', 0.9811320754716981), ('F1 Score', 0.40232108317214704), ('Specificity', 0.4917218543046358), ('NPV', 0.9933110367892977), ('FPR', 0.5082781456953642), ('FDR', 0.7469586374695864), ('MCC', 0.34130440976956933), ('Confusion Matrix', (297, 307, 2, 104)), ('ROC_AUC', 0.9434977508434336), ('AUCPR', 0.7384890533259783)]",106
