timestep,metrics,total_pos_label
24,"[('True Negtaives', 621), ('False Positives', 368), ('False Negtaives', 81), ('True Positives', 56), ('Accuracy', 0.6012433392539964), ('Precision', 0.1320754716981132), ('Recall', 0.40875912408759124), ('F1 Score', 0.19964349376114082), ('Specificity', 0.627906976744186), ('NPV', 0.8846153846153846), ('FPR', 0.37209302325581395), ('FDR', 0.8679245283018868), ('MCC', 0.024738403759325654), ('Confusion Matrix', (621, 368, 81, 56)), ('ROC_AUC', 0.6204453366594584), ('AUCPR', 0.1542489389147206)]",137
25,"[('True Negtaives', 308), ('False Positives', 168), ('False Negtaives', 2), ('True Positives', 116), ('Accuracy', 0.7138047138047138), ('Precision', 0.4084507042253521), ('Recall', 0.9830508474576272), ('F1 Score', 0.5771144278606966), ('Specificity', 0.6470588235294118), ('NPV', 0.9935483870967742), ('FPR', 0.35294117647058826), ('FDR', 0.5915492957746479), ('MCC', 0.5032926734714839), ('Confusion Matrix', (308, 168, 2, 116)), ('ROC_AUC', 0.8890471442814414), ('AUCPR', 0.5718115532359193)]",118
26,"[('True Negtaives', 304), ('False Positives', 117), ('False Negtaives', 26), ('True Positives', 70), ('Accuracy', 0.723404255319149), ('Precision', 0.37433155080213903), ('Recall', 0.7291666666666666), ('F1 Score', 0.49469964664310956), ('Specificity', 0.7220902612826603), ('NPV', 0.9212121212121213), ('FPR', 0.27790973871733965), ('FDR', 0.6256684491978609), ('MCC', 0.36519327692061715), ('Confusion Matrix', (304, 117, 26, 70)), ('ROC_AUC', 0.778528305621536), ('AUCPR', 0.4457200339257557)]",96
27,"[('True Negtaives', 166), ('False Positives', 16), ('False Negtaives', 8), ('True Positives', 16), ('Accuracy', 0.883495145631068), ('Precision', 0.5), ('Recall', 0.6666666666666666), ('F1 Score', 0.5714285714285715), ('Specificity', 0.9120879120879121), ('NPV', 0.9540229885057471), ('FPR', 0.08791208791208792), ('FDR', 0.5), ('MCC', 0.5126088991205074), ('Confusion Matrix', (166, 16, 8, 16)), ('ROC_AUC', 0.9423076923076923), ('AUCPR', 0.6667668022183533)]",24
28,"[('True Negtaives', 132), ('False Positives', 67), ('False Negtaives', 3), ('True Positives', 82), ('Accuracy', 0.7535211267605634), ('Precision', 0.5503355704697986), ('Recall', 0.9647058823529412), ('F1 Score', 0.7008547008547009), ('Specificity', 0.6633165829145728), ('NPV', 0.9777777777777777), ('FPR', 0.33668341708542715), ('FDR', 0.44966442953020136), ('MCC', 0.5759054148965125), ('Confusion Matrix', (132, 67, 3, 82)), ('ROC_AUC', 0.8995566065622229), ('AUCPR', 0.7143563296162793)]",85
29,"[('True Negtaives', 561), ('False Positives', 284), ('False Negtaives', 198), ('True Positives', 131), ('Accuracy', 0.5894378194207837), ('Precision', 0.3156626506024096), ('Recall', 0.3981762917933131), ('F1 Score', 0.35215053763440857), ('Specificity', 0.663905325443787), ('NPV', 0.7391304347826086), ('FPR', 0.336094674556213), ('FDR', 0.6843373493975904), ('MCC', 0.058323608891361046), ('Confusion Matrix', (561, 284, 198, 131)), ('ROC_AUC', 0.5755759788493012), ('AUCPR', 0.3587526265131695)]",329
30,"[('True Negtaives', 280), ('False Positives', 161), ('False Negtaives', 10), ('True Positives', 73), ('Accuracy', 0.6736641221374046), ('Precision', 0.31196581196581197), ('Recall', 0.8795180722891566), ('F1 Score', 0.4605678233438485), ('Specificity', 0.6349206349206349), ('NPV', 0.9655172413793104), ('FPR', 0.36507936507936506), ('FDR', 0.688034188034188), ('MCC', 0.37782009374236614), ('Confusion Matrix', (280, 161, 10, 73)), ('ROC_AUC', 0.8324727481353987), ('AUCPR', 0.3995643732063535)]",83
31,"[('True Negtaives', 258), ('False Positives', 346), ('False Negtaives', 46), ('True Positives', 60), ('Accuracy', 0.447887323943662), ('Precision', 0.1477832512315271), ('Recall', 0.5660377358490566), ('F1 Score', 0.23437500000000003), ('Specificity', 0.4271523178807947), ('NPV', 0.8486842105263158), ('FPR', 0.5728476821192053), ('FDR', 0.8522167487684729), ('MCC', -0.004904731962741235), ('Confusion Matrix', (258, 346, 46, 60)), ('ROC_AUC', 0.5837498438085718), ('AUCPR', 0.259168085711046)]",106
32,"[('True Negtaives', 687), ('False Positives', 294), ('False Negtaives', 197), ('True Positives', 145), ('Accuracy', 0.6288737717309146), ('Precision', 0.33029612756264237), ('Recall', 0.4239766081871345), ('F1 Score', 0.37131882202304733), ('Specificity', 0.7003058103975535), ('NPV', 0.7771493212669683), ('FPR', 0.2996941896024465), ('FDR', 0.6697038724373576), ('MCC', 0.11555769228598049), ('Confusion Matrix', (687, 294, 197, 145)), ('ROC_AUC', 0.5642231640944019), ('AUCPR', 0.3073785853889303)]",342
33,"[('True Negtaives', 418), ('False Positives', 0), ('False Negtaives', 22), ('True Positives', 1), ('Accuracy', 0.9501133786848073), ('Precision', 1.0), ('Recall', 0.043478260869565216), ('F1 Score', 0.08333333333333333), ('Specificity', 1.0), ('NPV', 0.95), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.20323471117426511), ('Confusion Matrix', (418, 0, 22, 1)), ('ROC_AUC', 0.689619305179946), ('AUCPR', 0.1490466881614534)]",23
34,"[('True Negtaives', 476), ('False Positives', 2), ('False Negtaives', 36), ('True Positives', 1), ('Accuracy', 0.9262135922330097), ('Precision', 0.3333333333333333), ('Recall', 0.02702702702702703), ('F1 Score', 0.05), ('Specificity', 0.99581589958159), ('NPV', 0.9296875), ('FPR', 0.0041841004184100415), ('FDR', 0.6666666666666666), ('MCC', 0.07751235767521597), ('Confusion Matrix', (476, 2, 36, 1)), ('ROC_AUC', 0.7726450299672057), ('AUCPR', 0.18713053726467216)]",37
