timestep,metrics,total_pos_label
32,"[('True Negtaives', 943), ('False Positives', 38), ('False Negtaives', 71), ('True Positives', 271), ('Accuracy', 0.9176114890400605), ('Precision', 0.8770226537216829), ('Recall', 0.7923976608187134), ('F1 Score', 0.8325652841781874), ('Specificity', 0.9612640163098879), ('NPV', 0.9299802761341223), ('FPR', 0.03873598369011213), ('FDR', 0.12297734627831715), ('MCC', 0.7798763886429829), ('Confusion Matrix', (943, 38, 71, 271)), ('ROC_AUC', 0.9626410572813277), ('AUCPR', 0.856234633389331)]",342
33,"[('True Negtaives', 413), ('False Positives', 5), ('False Negtaives', 5), ('True Positives', 18), ('Accuracy', 0.9773242630385488), ('Precision', 0.782608695652174), ('Recall', 0.782608695652174), ('F1 Score', 0.782608695652174), ('Specificity', 0.9880382775119617), ('NPV', 0.9880382775119617), ('FPR', 0.011961722488038277), ('FDR', 0.21739130434782608), ('MCC', 0.7706469731641357), ('Confusion Matrix', (413, 5, 5, 18)), ('ROC_AUC', 0.8946328271271062), ('AUCPR', 0.7294804985926965)]",23
34,"[('True Negtaives', 466), ('False Positives', 12), ('False Negtaives', 10), ('True Positives', 27), ('Accuracy', 0.9572815533980582), ('Precision', 0.6923076923076923), ('Recall', 0.7297297297297297), ('F1 Score', 0.7105263157894737), ('Specificity', 0.9748953974895398), ('NPV', 0.9789915966386554), ('FPR', 0.02510460251046025), ('FDR', 0.3076923076923077), ('MCC', 0.6877603847823931), ('Confusion Matrix', (466, 12, 10, 27)), ('ROC_AUC', 0.9676580346036413), ('AUCPR', 0.8167646290512397)]",37
35,"[('True Negtaives', 1122), ('False Positives', 37), ('False Negtaives', 9), ('True Positives', 173), ('Accuracy', 0.9656972408650261), ('Precision', 0.8238095238095238), ('Recall', 0.9505494505494505), ('F1 Score', 0.8826530612244897), ('Specificity', 0.9680759275237274), ('NPV', 0.9920424403183024), ('FPR', 0.03192407247627265), ('FDR', 0.1761904761904762), ('MCC', 0.8657149178561434), ('Confusion Matrix', (1122, 37, 9, 173)), ('ROC_AUC', 0.9918317230655453), ('AUCPR', 0.9541128546099977)]",182
36,"[('True Negtaives', 1642), ('False Positives', 33), ('False Negtaives', 0), ('True Positives', 33), ('Accuracy', 0.9806791569086651), ('Precision', 0.5), ('Recall', 1.0), ('F1 Score', 0.6666666666666666), ('Specificity', 0.9802985074626865), ('NPV', 1.0), ('FPR', 0.019701492537313434), ('FDR', 0.5), ('MCC', 0.7001066016910162), ('Confusion Matrix', (1642, 33, 0, 33)), ('ROC_AUC', 0.998887381275441), ('AUCPR', 0.9198777052352104)]",33
37,"[('True Negtaives', 454), ('False Positives', 4), ('False Negtaives', 13), ('True Positives', 27), ('Accuracy', 0.9658634538152611), ('Precision', 0.8709677419354839), ('Recall', 0.675), ('F1 Score', 0.7605633802816901), ('Specificity', 0.9912663755458515), ('NPV', 0.9721627408993576), ('FPR', 0.008733624454148471), ('FDR', 0.12903225806451613), ('MCC', 0.7494994936026265), ('Confusion Matrix', (454, 4, 13, 27)), ('ROC_AUC', 0.8537117903930131), ('AUCPR', 0.7604922905604413)]",40
38,"[('True Negtaives', 645), ('False Positives', 0), ('False Negtaives', 20), ('True Positives', 91), ('Accuracy', 0.9735449735449735), ('Precision', 1.0), ('Recall', 0.8198198198198198), ('F1 Score', 0.9009900990099009), ('Specificity', 1.0), ('NPV', 0.9699248120300752), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.8917194539973146), ('Confusion Matrix', (645, 0, 20, 91)), ('ROC_AUC', 0.9363084014246805), ('AUCPR', 0.9139231121046151)]",111
39,"[('True Negtaives', 1098), ('False Positives', 4), ('False Negtaives', 11), ('True Positives', 70), ('Accuracy', 0.9873203719357565), ('Precision', 0.9459459459459459), ('Recall', 0.8641975308641975), ('F1 Score', 0.903225806451613), ('Specificity', 0.9963702359346642), ('NPV', 0.9900811541929666), ('FPR', 0.003629764065335753), ('FDR', 0.05405405405405406), ('MCC', 0.8975047360486509), ('Confusion Matrix', (1098, 4, 11, 70)), ('ROC_AUC', 0.9580000448119022), ('AUCPR', 0.9259652372032114)]",81
40,"[('True Negtaives', 1070), ('False Positives', 29), ('False Negtaives', 38), ('True Positives', 74), ('Accuracy', 0.94467382328654), ('Precision', 0.7184466019417476), ('Recall', 0.6607142857142857), ('F1 Score', 0.6883720930232559), ('Specificity', 0.9736123748862603), ('NPV', 0.9657039711191335), ('FPR', 0.026387625113739762), ('FDR', 0.2815533980582524), ('MCC', 0.658767749937456), ('Confusion Matrix', (1070, 29, 38, 74)), ('ROC_AUC', 0.8550589821916028), ('AUCPR', 0.7155021945426744)]",112
41,"[('True Negtaives', 989), ('False Positives', 27), ('False Negtaives', 9), ('True Positives', 107), ('Accuracy', 0.9681978798586572), ('Precision', 0.7985074626865671), ('Recall', 0.9224137931034483), ('F1 Score', 0.856), ('Specificity', 0.9734251968503937), ('NPV', 0.9909819639278558), ('FPR', 0.0265748031496063), ('FDR', 0.20149253731343283), ('MCC', 0.8409847861391444), ('Confusion Matrix', (989, 27, 9, 107)), ('ROC_AUC', 0.9614105348900353), ('AUCPR', 0.8085159365718221)]",116
42,"[('True Negtaives', 1840), ('False Positives', 75), ('False Negtaives', 42), ('True Positives', 197), ('Accuracy', 0.9456824512534819), ('Precision', 0.7242647058823529), ('Recall', 0.8242677824267782), ('F1 Score', 0.7710371819960862), ('Specificity', 0.9608355091383812), ('NPV', 0.9776833156216791), ('FPR', 0.0391644908616188), ('FDR', 0.2757352941176471), ('MCC', 0.742362244588494), ('Confusion Matrix', (1840, 75, 42, 197)), ('ROC_AUC', 0.9145263663873625), ('AUCPR', 0.723495797623538)]",239
43,"[('True Negtaives', 1249), ('False Positives', 97), ('False Negtaives', 17), ('True Positives', 7), ('Accuracy', 0.9167883211678832), ('Precision', 0.0673076923076923), ('Recall', 0.2916666666666667), ('F1 Score', 0.109375), ('Specificity', 0.9279346210995543), ('NPV', 0.9865718799368088), ('FPR', 0.07206537890044576), ('FDR', 0.9326923076923077), ('MCC', 0.1087751049146154), ('Confusion Matrix', (1249, 97, 17, 7)), ('ROC_AUC', 0.6510029717682021), ('AUCPR', 0.039542056734299724)]",24
44,"[('True Negtaives', 1459), ('False Positives', 108), ('False Negtaives', 18), ('True Positives', 6), ('Accuracy', 0.9208045254556882), ('Precision', 0.05263157894736842), ('Recall', 0.25), ('F1 Score', 0.08695652173913043), ('Specificity', 0.9310784939374601), ('NPV', 0.987813134732566), ('FPR', 0.06892150606253988), ('FDR', 0.9473684210526315), ('MCC', 0.08557843093264983), ('Confusion Matrix', (1459, 108, 18, 6)), ('ROC_AUC', 0.541188045096788), ('AUCPR', 0.07376169427795097)]",24
45,"[('True Negtaives', 1184), ('False Positives', 32), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.9696969696969697), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9736842105263158), ('NPV', 0.9957947855340622), ('FPR', 0.02631578947368421), ('FDR', 1.0), ('MCC', -0.01051967388169945), ('Confusion Matrix', (1184, 32, 5, 0)), ('ROC_AUC', 0.6532894736842105), ('AUCPR', 0.01121838799685364)]",5
46,"[('True Negtaives', 708), ('False Positives', 2), ('False Negtaives', 2), ('True Positives', 0), ('Accuracy', 0.9943820224719101), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 0.9971830985915493), ('NPV', 0.9971830985915493), ('FPR', 0.0028169014084507044), ('FDR', 1.0), ('MCC', -0.0028169014084507044), ('Confusion Matrix', (708, 2, 2, 0)), ('ROC_AUC', 0.13661971830985914), ('AUCPR', 0.0023798797590891298)]",2
47,"[('True Negtaives', 814), ('False Positives', 10), ('False Negtaives', 17), ('True Positives', 5), ('Accuracy', 0.9680851063829787), ('Precision', 0.3333333333333333), ('Recall', 0.22727272727272727), ('F1 Score', 0.27027027027027023), ('Specificity', 0.9878640776699029), ('NPV', 0.9795427196149218), ('FPR', 0.012135922330097087), ('FDR', 0.6666666666666666), ('MCC', 0.25944393300740104), ('Confusion Matrix', (814, 10, 17, 5)), ('ROC_AUC', 0.6588702559576346), ('AUCPR', 0.17397154820541186)]",22
48,"[('True Negtaives', 431), ('False Positives', 4), ('False Negtaives', 34), ('True Positives', 2), ('Accuracy', 0.9193205944798302), ('Precision', 0.3333333333333333), ('Recall', 0.05555555555555555), ('F1 Score', 0.09523809523809525), ('Specificity', 0.9908045977011494), ('NPV', 0.9268817204301075), ('FPR', 0.009195402298850575), ('FDR', 0.6666666666666666), ('MCC', 0.10983446532020286), ('Confusion Matrix', (431, 4, 34, 2)), ('ROC_AUC', 0.4646232439335888), ('AUCPR', 0.16144800066490622)]",36
49,"[('True Negtaives', 418), ('False Positives', 2), ('False Negtaives', 29), ('True Positives', 27), ('Accuracy', 0.9348739495798319), ('Precision', 0.9310344827586207), ('Recall', 0.48214285714285715), ('F1 Score', 0.6352941176470589), ('Specificity', 0.9952380952380953), ('NPV', 0.9351230425055929), ('FPR', 0.004761904761904762), ('FDR', 0.06896551724137931), ('MCC', 0.6430296294281929), ('Confusion Matrix', (418, 2, 29, 27)), ('ROC_AUC', 0.876360544217687), ('AUCPR', 0.7368276505442178)]",56
