timestep,metrics,total_pos_label
34,"[('True Negtaives', 0), ('False Positives', 478), ('False Negtaives', 0), ('True Positives', 37), ('Accuracy', 0.07184466019417475), ('Precision', 0.07184466019417475), ('Recall', 1.0), ('F1 Score', 0.13405797101449274), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.9281553398058252), ('MCC', 0.0), ('Confusion Matrix', (0, 478, 0, 37)), ('ROC_AUC', 0.8360284971163633), ('AUCPR', 0.7817594722217612)]",37
35,"[('True Negtaives', 0), ('False Positives', 1159), ('False Negtaives', 0), ('True Positives', 182), ('Accuracy', 0.13571961222967935), ('Precision', 0.13571961222967935), ('Recall', 1.0), ('F1 Score', 0.23900196979645438), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.8642803877703207), ('MCC', 0.0), ('Confusion Matrix', (0, 1159, 0, 182)), ('ROC_AUC', 0.9885748418966711), ('AUCPR', 0.9778508411752418)]",182
36,"[('True Negtaives', 0), ('False Positives', 1675), ('False Negtaives', 0), ('True Positives', 33), ('Accuracy', 0.019320843091334895), ('Precision', 0.019320843091334895), ('Recall', 1.0), ('F1 Score', 0.03790924755887421), ('Specificity', 0.0), ('NPV', 0), ('FPR', 1.0), ('FDR', 0.9806791569086651), ('MCC', 0.0), ('Confusion Matrix', (0, 1675, 0, 33)), ('ROC_AUC', 0.9934871099050204), ('AUCPR', 0.6153844489511606)]",33
37,"[('True Negtaives', 433), ('False Positives', 25), ('False Negtaives', 12), ('True Positives', 28), ('Accuracy', 0.9257028112449799), ('Precision', 0.5283018867924528), ('Recall', 0.7), ('F1 Score', 0.6021505376344085), ('Specificity', 0.9454148471615721), ('NPV', 0.9730337078651685), ('FPR', 0.05458515283842795), ('FDR', 0.4716981132075472), ('MCC', 0.5688316413514675), ('Confusion Matrix', (433, 25, 12, 28)), ('ROC_AUC', 0.8615174672489083), ('AUCPR', 0.7500970748246979)]",40
38,"[('True Negtaives', 567), ('False Positives', 78), ('False Negtaives', 15), ('True Positives', 96), ('Accuracy', 0.876984126984127), ('Precision', 0.5517241379310345), ('Recall', 0.8648648648648649), ('F1 Score', 0.6736842105263158), ('Specificity', 0.8790697674418605), ('NPV', 0.9742268041237113), ('FPR', 0.12093023255813953), ('FDR', 0.4482758620689655), ('MCC', 0.6255182816583966), ('Confusion Matrix', (567, 78, 15, 96)), ('ROC_AUC', 0.9364620434387876), ('AUCPR', 0.8981342036283296)]",111
39,"[('True Negtaives', 1102), ('False Positives', 0), ('False Negtaives', 81), ('True Positives', 0), ('Accuracy', 0.9315300084530854), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9315300084530854), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1102, 0, 81, 0)), ('ROC_AUC', 0.9849095919876318), ('AUCPR', 0.9415777432819772)]",81
40,"[('True Negtaives', 1099), ('False Positives', 0), ('False Negtaives', 112), ('True Positives', 0), ('Accuracy', 0.9075144508670521), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9075144508670521), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1099, 0, 112, 0)), ('ROC_AUC', 0.8595963863252307), ('AUCPR', 0.6993181259823599)]",112
41,"[('True Negtaives', 1016), ('False Positives', 0), ('False Negtaives', 107), ('True Positives', 9), ('Accuracy', 0.9054770318021201), ('Precision', 1.0), ('Recall', 0.07758620689655173), ('F1 Score', 0.144), ('Specificity', 1.0), ('NPV', 0.9047195013357079), ('FPR', 0.0), ('FDR', 0.0), ('MCC', 0.26494103950497616), ('Confusion Matrix', (1016, 0, 107, 9)), ('ROC_AUC', 0.9779900896008689), ('AUCPR', 0.9439398707854117)]",116
42,"[('True Negtaives', 1913), ('False Positives', 2), ('False Negtaives', 217), ('True Positives', 22), ('Accuracy', 0.8983286908077994), ('Precision', 0.9166666666666666), ('Recall', 0.09205020920502092), ('F1 Score', 0.16730038022813687), ('Specificity', 0.9989556135770234), ('NPV', 0.8981220657276995), ('FPR', 0.0010443864229765013), ('FDR', 0.08333333333333333), ('MCC', 0.27230592903036155), ('Confusion Matrix', (1913, 2, 217, 22)), ('ROC_AUC', 0.9329232987753586), ('AUCPR', 0.8263405199124603)]",239
43,"[('True Negtaives', 1346), ('False Positives', 0), ('False Negtaives', 24), ('True Positives', 0), ('Accuracy', 0.9824817518248176), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9824817518248176), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1346, 0, 24, 0)), ('ROC_AUC', 0.571291480931154), ('AUCPR', 0.02844149781164157)]",24
44,"[('True Negtaives', 1567), ('False Positives', 0), ('False Negtaives', 24), ('True Positives', 0), ('Accuracy', 0.9849151477058454), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9849151477058454), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1567, 0, 24, 0)), ('ROC_AUC', 0.7597319719208679), ('AUCPR', 0.11232533400648284)]",24
45,"[('True Negtaives', 1216), ('False Positives', 0), ('False Negtaives', 5), ('True Positives', 0), ('Accuracy', 0.9959049959049959), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9959049959049959), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (1216, 0, 5, 0)), ('ROC_AUC', 0.8199013157894737), ('AUCPR', 0.02920946727804213)]",5
46,"[('True Negtaives', 710), ('False Positives', 0), ('False Negtaives', 2), ('True Positives', 0), ('Accuracy', 0.9971910112359551), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9971910112359551), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (710, 0, 2, 0)), ('ROC_AUC', 0.8859154929577465), ('AUCPR', 0.03616852146263911)]",2
47,"[('True Negtaives', 824), ('False Positives', 0), ('False Negtaives', 22), ('True Positives', 0), ('Accuracy', 0.9739952718676123), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9739952718676123), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (824, 0, 22, 0)), ('ROC_AUC', 0.7520410414827892), ('AUCPR', 0.11890292572187769)]",22
48,"[('True Negtaives', 435), ('False Positives', 0), ('False Negtaives', 36), ('True Positives', 0), ('Accuracy', 0.9235668789808917), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.9235668789808917), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (435, 0, 36, 0)), ('ROC_AUC', 0.726309067688378), ('AUCPR', 0.2249784176990867)]",36
49,"[('True Negtaives', 420), ('False Positives', 0), ('False Negtaives', 56), ('True Positives', 0), ('Accuracy', 0.8823529411764706), ('Precision', 0.0), ('Recall', 0.0), ('F1 Score', 0.0), ('Specificity', 1.0), ('NPV', 0.8823529411764706), ('FPR', 0.0), ('FDR', 0), ('MCC', 0.0), ('Confusion Matrix', (420, 0, 56, 0)), ('ROC_AUC', 0.9635204081632653), ('AUCPR', 0.8448715406126409)]",56
